dealer_show,player_sum,v*,action
1,1,0.30508650160571915,0
1,2,0.3396264717823787,0
1,3,0.3102815177478575,0
1,4,0.3277983395018494,0
1,5,0.31323617488520605,0
1,6,0.31529869863715587,0
1,7,0.32779746835443097,0
1,8,0.3218133767025828,0
1,9,0.3204098031337889,0
1,10,0.33051529790660145,0
1,11,0.3809523809523808,1
1,12,0.29577464788732394,0
1,13,0.3773584905660377,1
1,14,0.39784946236559143,0
1,15,0.26829268292682934,0
1,16,0.6140350877192979,0
1,17,0.44444444444444436,0
1,18,0.5192307692307692,0
1,19,0.659090909090909,0
1,20,0.8518518518518519,0
1,21,0.8666666666666665,0
2,1,0.24255405956752293,0
2,2,0.2554226636934943,0
2,3,0.25900092317160595,0
2,4,0.24219222244609986,0
2,5,0.245844804731315,0
2,6,0.25649580426650453,0
2,7,0.25422005287777094,0
2,8,0.26960235940201305,0
2,9,0.24732269145281796,0
2,10,0.25846340968984455,0
2,11,0.28813559322033905,0
2,12,0.3333333333333333,0
2,13,0.19999999999999996,0
2,14,0.4545454545454545,0
2,15,0.30612244897959173,0
2,16,0.29577464788732394,0
2,17,0.03703703703703702,0
2,18,0.5999999999999998,0
2,19,0.6999999999999998,0
2,20,0.8965517241379308,0
2,21,1.0,0
3,1,0.2135040264298991,0
3,2,0.20369218004563364,0
3,3,0.19435830749224742,0
3,4,0.20093315752104718,0
3,5,0.21816723481050784,0
3,6,0.20404282998098658,0
3,7,0.19606234618539767,0
3,8,0.20471311475409704,0
3,9,0.2208031061612343,0
3,10,0.181938370792231,0
3,11,0.17894736842105258,1
3,12,0.18604651162790697,0
3,13,0.1923076923076923,0
3,14,0.1648351648351649,0
3,15,0.3333333333333332,0
3,16,0.18421052631578955,0
3,17,0.12698412698412695,0
3,18,0.3050847457627118,0
3,19,0.5555555555555556,0
3,20,0.9285714285714285,0
3,21,1.0,0
4,1,0.14865560935407432,0
4,2,0.1495317484820418,0
4,3,0.1497265504075946,0
4,4,0.15196620738207733,0
4,5,0.16125781092521657,0
4,6,0.1688496294040009,0
4,7,0.1639495539833902,0
4,8,0.13510277389742573,0
4,9,0.15701008503065028,0
4,10,0.14925221283955611,0
4,11,0.17647058823529413,0
4,12,0.1702127659574468,0
4,13,0.15686274509803927,0
4,14,0.1566265060240964,0
4,15,-0.1594202898550725,0
4,16,0.08333333333333334,0
4,17,0.2105263157894737,0
4,18,0.24489795918367346,0
4,19,0.7333333333333334,0
4,20,0.75,0
4,21,1.0,0
5,1,0.10293225480283119,0
5,2,0.11044529393532394,0
5,3,0.11382030529658853,0
5,4,0.1064987405541561,0
5,5,0.10153783481006205,0
5,6,0.09934177215189881,0
5,7,0.10199179261335167,0
5,8,0.09020801623541327,0
5,9,0.1141732283464569,0
5,10,0.10547314578005146,0
5,11,0.13333333333333336,0
5,12,0.16197183098591553,1
5,13,4.5102810375396984e-17,1
5,14,-0.025641025641025647,0
5,15,-0.09803921568627458,0
5,16,-0.09890109890109895,0
5,17,0.26865671641791045,0
5,18,0.5072463768115942,0
5,19,0.5961538461538461,0
5,20,0.8809523809523807,0
5,21,0.8888888888888888,0
6,1,0.06723369785338196,0
6,2,0.0727031712042418,0
6,3,0.061489988820002096,0
6,4,0.059926620464736936,0
6,5,0.07312595614482413,0
6,6,0.07483269113770022,0
6,7,0.061617072437631336,0
6,8,0.06167400881057276,0
6,9,0.055262371801254366,0
6,10,0.06171843485276285,0
6,11,0.11965811965811964,1
6,12,-0.03225806451612902,0
6,13,0.06349206349206345,0
6,14,-0.12698412698412695,1
6,15,-0.07462686567164181,0
6,16,-0.050847457627118633,0
6,17,0.14285714285714288,0
6,18,0.6470588235294118,0
6,19,0.7083333333333335,0
6,20,0.8965517241379308,0
6,21,0.9,0
7,1,-0.022889986891196843,0
7,2,-0.026288974933768,0
7,3,-0.03754196764675958,0
7,4,-0.038955863305768654,0
7,5,-0.03118461691740547,0
7,6,-0.04049719326383306,0
7,7,-0.020318286457811998,0
7,8,-0.030896910308969086,0
7,9,-0.017617199163929547,0
7,10,-0.02528828646570903,0
7,11,0.05797101449275363,1
7,12,-0.029411764705882387,1
7,13,-0.06542056074766348,0
7,14,0.06493506493506492,0
7,15,0.03296703296703295,0
7,16,-0.02222222222222221,0
7,17,0.10000000000000005,0
7,18,0.3230769230769229,0
7,19,0.5483870967741935,0
7,20,0.75,0
7,21,0.8666666666666666,0
8,1,-0.1211220509009835,0
8,2,-0.11203007518796977,0
8,3,-0.12681638044914162,0
8,4,-0.12916036308623366,0
8,5,-0.12531184033774725,0
8,6,-0.1277557420902135,0
8,7,-0.12359131973549471,0
8,8,-0.12711626601814632,0
8,9,-0.06892778993435449,1
8,10,-0.008510191216642177,1
8,11,0.10564399421128819,1
8,12,-0.10402429764616544,0
8,13,-0.038787023977433006,1
8,14,-0.09681697612732086,1
8,15,-0.13975576662143832,0
8,16,-0.12026143790849671,0
8,17,0.03170227429359062,0
8,18,0.36962190352020874,0
8,19,0.6283068783068781,0
8,20,0.7920673076923077,0
8,21,0.9218749999999998,0
9,1,-0.2008626605234779,0
9,2,-0.2032122221134067,0
9,3,-0.2015062276721063,0
9,4,-0.2149173394848134,0
9,5,-0.22505349153861115,0
9,6,-0.19236475126100275,0
9,7,-0.2149496135407491,0
9,8,-0.21378768535794984,0
9,9,-0.20164032806561208,0
9,10,-0.07619143984620097,1
9,11,-2.6237692574149207e-17,1
9,12,-0.02949061662198386,1
9,13,-0.19413919413919384,0
9,14,-0.18242343541944053,0
9,15,-0.15175097276264576,0
9,16,-0.22849462365591386,0
9,17,-0.03141361256544502,0
9,18,0.2520435967302451,0
9,19,0.5478142076502738,0
9,20,0.8196721311475417,0
9,21,0.9478260869565217,0
10,1,-0.29887031179394535,0
10,2,-0.28581700521301473,0
10,3,-0.29747808008677457,0
10,4,-0.28465884398087765,0
10,5,-0.3064545290182618,0
10,6,-0.2999285459092523,0
10,7,-0.33500417710944014,1
10,8,-0.2886948930597983,0
10,9,-0.2171842081157822,1
10,10,-0.15224883680854742,1
10,11,-0.07375000000000004,1
10,12,-0.12745901639344287,1
10,13,-0.17172774869109944,1
10,14,-0.16762342135476455,1
10,15,-0.2936775158997388,0
10,16,-0.31685930649661226,0
10,17,-0.15352058484032327,0
10,18,0.16896918172157321,0
10,19,0.4787123572170301,0
10,20,0.7536704730831975,0
10,21,0.9366812227074238,0
